dien_tich,so_phong,tuoi_nha,gia
66.2,4,4,7.02
113.5,1,14,8.16
95.5,2,13,7.77
84.6,3,2,7.99
48.3,1,0,5.87
48.3,4,4,6.22
40.3,2,25,4.58
106.5,1,22,7.83
84.8,4,13,7.27
93.6,4,6,8.59
37.2,4,8,5.47
115.0,1,14,9.39
103.8,1,14,7.84
52.9,1,25,4.94
50.4,3,9,5.78
50.5,1,12,4.62
60.4,1,18,5.82
78.5,1,6,6.98
70.9,3,16,7.03
59.4,1,19,5.02
85.7,4,3,8.73
46.9,1,4,4.54
59.5,4,22,6.53
65.5,4,6,7.82
72.9,4,12,6.96
99.9,3,14,8.2
51.9,3,10,5.89
77.7,3,3,7.27
84.1,1,12,6.33
39.3,4,6,5.64
85.3,3,18,7.12
49.5,3,21,5.61
40.8,1,1,4.45
113.3,3,9,9.74
114.7,1,12,8.28
101.8,2,24,7.79
60.5,3,20,6.36
43.5,2,5,4.74
91.6,1,11,7.39
71.6,4,11,7.72
45.5,3,19,4.71
76.1,1,10,6.55
38.3,4,25,5.17
110.1,4,22,9.38
56.7,2,24,4.99
89.8,1,6,6.88
61.1,4,0,7.14
78.1,3,0,7.65
80.3,3,24,7.15
50.7,2,24,5.21
115.0,4,19,9.21
99.1,1,12,7.78
112.5,3,8,9.34
108.9,4,2,9.29
84.5,4,6,8.75
111.1,2,5,9.05
42.8,3,7,5.01
51.6,3,8,6.12
39.2,1,4,4.26
62.2,3,0,6.95
